State,Date,Year,Month,Interest,Pre_Launch,Post_Launch,Legal_Status,Online,Retail
AK,1/1/2017,2017,1,69,0,0,0,NO,NO
AK,2/1/2017,2017,2,47,0,0,0,NO,NO
AK,3/1/2017,2017,3,60,0,0,0,NO,NO
AK,4/1/2017,2017,4,58,0,0,0,NO,NO
AK,5/1/2017,2017,5,54,0,0,0,NO,NO
AK,6/1/2017,2017,6,56,0,0,0,NO,NO
AK,7/1/2017,2017,7,55,0,0,0,NO,NO
AK,8/1/2017,2017,8,66,0,0,0,NO,NO
AK,9/1/2017,2017,9,100,0,0,0,NO,NO
AK,10/1/2017,2017,10,86,0,0,0,NO,NO
AK,11/1/2017,2017,11,84,0,0,0,NO,NO
AK,12/1/2017,2017,12,75,0,0,0,NO,NO
AK,1/1/2018,2018,1,63,0,0,0,NO,NO
AK,2/1/2018,2018,2,47,0,0,0,NO,NO
AK,3/1/2018,2018,3,65,0,0,0,NO,NO
AK,4/1/2018,2018,4,60,0,0,0,NO,NO
AK,5/1/2018,2018,5,66,0,0,0,NO,NO
AK,6/1/2018,2018,6,58,0,0,0,NO,NO
AK,7/1/2018,2018,7,53,0,0,0,NO,NO
AK,8/1/2018,2018,8,66,0,0,0,NO,NO
AK,9/1/2018,2018,9,93,0,0,0,NO,NO
AK,10/1/2018,2018,10,90,0,0,0,NO,NO
AK,11/1/2018,2018,11,87,0,0,0,NO,NO
AK,12/1/2018,2018,12,86,0,0,0,NO,NO
AK,1/1/2019,2019,1,70,0,0,0,NO,NO
AK,2/1/2019,2019,2,51,0,0,0,NO,NO
AK,3/1/2019,2019,3,71,0,0,0,NO,NO
AK,4/1/2019,2019,4,65,0,0,0,NO,NO
AK,5/1/2019,2019,5,61,0,0,0,NO,NO
AK,6/1/2019,2019,6,58,0,0,0,NO,NO
AK,7/1/2019,2019,7,54,0,0,0,NO,NO
AK,8/1/2019,2019,8,58,0,0,0,NO,NO
AK,9/1/2019,2019,9,99,0,0,0,NO,NO
AK,10/1/2019,2019,10,85,0,0,0,NO,NO
AK,11/1/2019,2019,11,85,0,0,0,NO,NO
AK,12/1/2019,2019,12,80,0,0,0,NO,NO
AK,1/1/2020,2020,1,66,0,0,0,NO,NO
AK,2/1/2020,2020,2,46,0,0,0,NO,NO
AK,3/1/2020,2020,3,35,0,0,0,NO,NO
AK,4/1/2020,2020,4,25,0,0,0,NO,NO
AK,5/1/2020,2020,5,23,0,0,0,NO,NO
AK,6/1/2020,2020,6,21,0,0,0,NO,NO
AK,7/1/2020,2020,7,31,0,0,0,NO,NO
AK,8/1/2020,2020,8,43,0,0,0,NO,NO
AK,9/1/2020,2020,9,68,0,0,0,NO,NO
AK,10/1/2020,2020,10,68,0,0,0,NO,NO
AK,11/1/2020,2020,11,58,0,0,0,NO,NO
AK,12/1/2020,2020,12,57,0,0,0,NO,NO
AK,1/1/2021,2021,1,59,0,0,0,NO,NO
AK,2/1/2021,2021,2,36,0,0,0,NO,NO
AK,3/1/2021,2021,3,51,0,0,0,NO,NO
AK,4/1/2021,2021,4,45,0,0,0,NO,NO
AK,5/1/2021,2021,5,46,0,0,0,NO,NO
AK,6/1/2021,2021,6,48,0,0,0,NO,NO
AK,7/1/2021,2021,7,51,0,0,0,NO,NO
AK,8/1/2021,2021,8,46,0,0,0,NO,NO
AK,9/1/2021,2021,9,72,0,0,0,NO,NO
AK,10/1/2021,2021,10,81,0,0,0,NO,NO
AK,11/1/2021,2021,11,78,0,0,0,NO,NO
AK,12/1/2021,2021,12,73,0,0,0,NO,NO
AK,1/1/2022,2022,1,54,0,0,0,NO,NO
AK,2/1/2022,2022,2,30,0,0,0,NO,NO
AK,3/1/2022,2022,3,50,0,0,0,NO,NO
AK,4/1/2022,2022,4,46,0,0,0,NO,NO
AK,5/1/2022,2022,5,46,0,0,0,NO,NO
AK,6/1/2022,2022,6,42,0,0,0,NO,NO
AK,7/1/2022,2022,7,37,0,0,0,NO,NO
AK,8/1/2022,2022,8,47,0,0,0,NO,NO
AK,9/1/2022,2022,9,76,0,0,0,NO,NO
AK,10/1/2022,2022,10,74,0,0,0,NO,NO
AK,11/1/2022,2022,11,65,0,0,0,NO,NO
AK,12/1/2022,2022,12,66,0,0,0,NO,NO
AK,1/1/2023,2023,1,58,0,0,0,NO,NO
AK,2/1/2023,2023,2,40,0,0,0,NO,NO
AK,3/1/2023,2023,3,50,0,0,0,NO,NO
AK,4/1/2023,2023,4,52,0,0,0,NO,NO
AK,5/1/2023,2023,5,52,0,0,0,NO,NO
AK,6/1/2023,2023,6,40,0,0,0,NO,NO
AK,7/1/2023,2023,7,37,0,0,0,NO,NO
AK,8/1/2023,2023,8,44,0,0,0,NO,NO
AK,9/1/2023,2023,9,80,0,0,0,NO,NO
AK,10/1/2023,2023,10,64,0,0,0,NO,NO
AK,11/1/2023,2023,11,68,0,0,0,NO,NO
AK,12/1/2023,2023,12,61,0,0,0,NO,NO
AK,1/1/2024,2024,1,58,0,0,0,NO,NO
AK,2/1/2024,2024,2,32,0,0,0,NO,NO
AK,3/1/2024,2024,3,47,0,0,0,NO,NO
AK,4/1/2024,2024,4,46,0,0,0,NO,NO
AK,5/1/2024,2024,5,43,0,0,0,NO,NO
AK,6/1/2024,2024,6,38,0,0,0,NO,NO
AK,7/1/2024,2024,7,27,0,0,0,NO,NO
AK,8/1/2024,2024,8,40,0,0,0,NO,NO
AK,9/1/2024,2024,9,57,0,0,0,NO,NO
AK,10/1/2024,2024,10,53,0,0,0,NO,NO
AK,11/1/2024,2024,11,44,0,0,0,NO,NO
AK,12/1/2024,2024,12,49,0,0,0,NO,NO
AK,1/1/2025,2025,1,40,0,0,0,NO,NO
AK,2/1/2025,2025,2,28,0,0,0,NO,NO
AK,3/1/2025,2025,3,43,0,0,0,NO,NO
AK,4/1/2025,2025,4,38,0,0,0,NO,NO
AK,5/1/2025,2025,5,35,0,0,0,NO,NO
AK,6/1/2025,2025,6,35,0,0,0,NO,NO
AK,7/1/2025,2025,7,26,0,0,0,NO,NO
AK,8/1/2025,2025,8,45,0,0,0,NO,NO
AK,9/1/2025,2025,9,57,0,0,0,NO,NO
AK,10/1/2025,2025,10,52,0,0,0,NO,NO
AK,11/1/2025,2025,11,62,0,0,0,NO,NO
AL,1/1/2017,2017,1,62,0,0,0,NO,NO
AL,2/1/2017,2017,2,36,0,0,0,NO,NO
AL,3/1/2017,2017,3,48,0,0,0,NO,NO
AL,4/1/2017,2017,4,46,0,0,0,NO,NO
AL,5/1/2017,2017,5,37,0,0,0,NO,NO
AL,6/1/2017,2017,6,36,0,0,0,NO,NO
AL,7/1/2017,2017,7,30,0,0,0,NO,NO
AL,8/1/2017,2017,8,44,0,0,0,NO,NO
AL,9/1/2017,2017,9,99,0,0,0,NO,NO
AL,10/1/2017,2017,10,88,0,0,0,NO,NO
AL,11/1/2017,2017,11,86,0,0,0,NO,NO
AL,12/1/2017,2017,12,68,0,0,0,NO,NO
AL,1/1/2018,2018,1,63,0,0,0,NO,NO
AL,2/1/2018,2018,2,38,0,0,0,NO,NO
AL,3/1/2018,2018,3,52,0,0,0,NO,NO
AL,4/1/2018,2018,4,40,0,0,0,NO,NO
AL,5/1/2018,2018,5,39,0,0,0,NO,NO
AL,6/1/2018,2018,6,36,0,0,0,NO,NO
AL,7/1/2018,2018,7,33,0,0,0,NO,NO
AL,8/1/2018,2018,8,43,0,0,0,NO,NO
AL,9/1/2018,2018,9,100,0,0,0,NO,NO
AL,10/1/2018,2018,10,77,0,0,0,NO,NO
AL,11/1/2018,2018,11,79,0,0,0,NO,NO
AL,12/1/2018,2018,12,72,0,0,0,NO,NO
AL,1/1/2019,2019,1,51,0,0,0,NO,NO
AL,2/1/2019,2019,2,33,0,0,0,NO,NO
AL,3/1/2019,2019,3,52,0,0,0,NO,NO
AL,4/1/2019,2019,4,40,0,0,0,NO,NO
AL,5/1/2019,2019,5,38,0,0,0,NO,NO
AL,6/1/2019,2019,6,44,0,0,0,NO,NO
AL,7/1/2019,2019,7,31,0,0,0,NO,NO
AL,8/1/2019,2019,8,49,0,0,0,NO,NO
AL,9/1/2019,2019,9,77,0,0,0,NO,NO
AL,10/1/2019,2019,10,68,0,0,0,NO,NO
AL,11/1/2019,2019,11,73,0,0,0,NO,NO
AL,12/1/2019,2019,12,61,0,0,0,NO,NO
AL,1/1/2020,2020,1,51,0,0,0,NO,NO
AL,2/1/2020,2020,2,32,0,0,0,NO,NO
AL,3/1/2020,2020,3,19,0,0,0,NO,NO
AL,4/1/2020,2020,4,16,0,0,0,NO,NO
AL,5/1/2020,2020,5,12,0,0,0,NO,NO
AL,6/1/2020,2020,6,12,0,0,0,NO,NO
AL,7/1/2020,2020,7,16,0,0,0,NO,NO
AL,8/1/2020,2020,8,28,0,0,0,NO,NO
AL,9/1/2020,2020,9,49,0,0,0,NO,NO
AL,10/1/2020,2020,10,63,0,0,0,NO,NO
AL,11/1/2020,2020,11,47,0,0,0,NO,NO
AL,12/1/2020,2020,12,54,0,0,0,NO,NO
AL,1/1/2021,2021,1,49,0,0,0,NO,NO
AL,2/1/2021,2021,2,25,0,0,0,NO,NO
AL,3/1/2021,2021,3,33,0,0,0,NO,NO
AL,4/1/2021,2021,4,27,0,0,0,NO,NO
AL,5/1/2021,2021,5,26,0,0,0,NO,NO
AL,6/1/2021,2021,6,32,0,0,0,NO,NO
AL,7/1/2021,2021,7,22,0,0,0,NO,NO
AL,8/1/2021,2021,8,26,0,0,0,NO,NO
AL,9/1/2021,2021,9,68,0,0,0,NO,NO
AL,10/1/2021,2021,10,67,0,0,0,NO,NO
AL,11/1/2021,2021,11,63,0,0,0,NO,NO
AL,12/1/2021,2021,12,63,0,0,0,NO,NO
AL,1/1/2022,2022,1,45,0,0,0,NO,NO
AL,2/1/2022,2022,2,27,0,0,0,NO,NO
